file,dt,tz,model,lat,lon,alt,dir,w,h,focal,eq35,zoom,lens
IMG_3458.HEIC,2026:09:20 15:03:48,-04:00,iPhone 17,40.21682777777778,-74.005325,0.7622947697230582,217.19697572622363,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3459.HEIC,2026:09:20 15:03:53,-04:00,iPhone 17,40.216838888888894,-74.00530277777777,1.100612641330876,220.29252636405317,3024,4032,5.960000038146973,172,3.33,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3460.HEIC,2026:09:20 15:04:30,-04:00,iPhone 17,40.216883333333335,-74.00539444444445,3.4029579173276105,225.83132944005496,5712,4284,5.960000038146973,26,1.001,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3461.HEIC,2026:09:20 15:04:36,-04:00,iPhone 17,40.216858333333334,-74.00537777777778,0.1158790587326547,224.24823008849557,4032,3024,5.960000038146973,143,2.759,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3462.HEIC,2026:09:20 15:06:22,-04:00,iPhone 17,40.21677777777778,-74.0057,0.8620338437896468,130.65470125057897,4032,3024,5.960000038146973,143,2.759,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3463.HEIC,2026:09:20 15:06:39,-04:00,iPhone 17,40.21673888888889,-74.00579166666667,1.6482810989921304,151.53924566768603,4284,5712,2.220000028611935,14,,iPhone 17 back dual wide camera 2.22mm f/2.2
IMG_3464.HEIC,2026:09:20 15:06:42,-04:00,iPhone 17,40.21673888888889,-74.00579166666667,1.2653770451470046,150.20664983164983,4284,5712,5.960000038146973,45,1.763,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3465.HEIC,2026:09:20 15:08:24,-04:00,iPhone 17,40.21636666666667,-74.00579722222223,3.484249115478068,23.92712022367195,3024,4032,5.960000038146973,205,3.958,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3466.HEIC,2026:09:20 15:09:03,-04:00,iPhone 17,40.216297222222224,-74.00579166666667,7.6898861893615305,251.55552672548,4284,5712,2.220000028611935,14,,iPhone 17 back dual wide camera 2.22mm f/2.2
IMG_3467.HEIC,2026:09:20 15:09:05,-04:00,iPhone 17,40.216297222222224,-74.00579166666667,6.974042265753161,211.43885785226567,4284,5712,2.220000028611935,14,,iPhone 17 back dual wide camera 2.22mm f/2.2
